old function name,guessed function name & purpose,notes on parameter values/types and internal variables
FUN_08000630,BadInstruction_Handler,"Purpose: A trap or handler for when the CPU encounters an unknown/bad instruction. This is likely a default interrupt vector."
FUN_080008d4,Util_IntegerToString,"Purpose: Converts an unsigned integer into a null-terminated ASCII string. This is a common 'itoa' implementation.","param_1: Pointer to a buffer/struct. The resulting string is stored at offset +0x24 from this pointer. param_3: The unsigned integer to convert."
FUN_08000bc0,lib_memset,"Purpose: Standard library function to fill a block of memory with a specific byte value. It's optimized for word/half-word writes.","param_1: (void*) destination pointer. param_2: (uint) number of bytes to fill. param_3: (byte) value to fill with."
FUN_08000f94,lib_bzero,"Purpose: Standard library function to fill a block of memory with zeros. It's an optimized 'memset(..., 0, ...)' or 'bzero'.","param_1: (void*) destination pointer. param_2: (uint) number of bytes to write."
FUN_08001026,lib_strncpy,"Purpose: Standard library function to copy a string with a maximum length, padding with nulls if src is shorter than len.","param_1: (char*) destination. param_2: (char*) source. param_3: (int) max length. Calls lib_bzero (FUN_08000f94) to pad."
FUN_08003c08,I2C_Write_Command_Word,"Purpose: Sends a 6-byte command packet over a serial bus (likely I2C or SPI) and then delays.","param_1: (uint16_t) A 16-bit value split into two bytes in the packet. Notes: Calls FUN_0800b7a6 (a delay function) for 50ms (0x32)."
FUN_08007f04,BK4819_Init,"Purpose: Initializes the BK4819 RF transceiver by writing 50+ register/value pairs. CONFIRMED from Ghidra analysis.","Notes: Writes to registers 0x00-0x7E. Includes AGC table (reg 0x09 x16), audio filters (0x46-0x4F), squelch (0x28-0x2F)."
FUN_080081b8,Flash_ReadWrite_Block,"Purpose: Reads or writes a 128-byte (0x80) block from/to specific addresses in the main Flash or an external SPI Flash.","param_1: (int) 0 = Read, 1 = Write. Notes: Accesses addresses like 0x8000, 0x9000, 0xb000, 0xf000."
FUN_080087f4,Util_Calculate_XOR_Checksum,"Purpose: Calculates a simple 8-bit XOR checksum over a block of data.","param_1: (uint) length. param_2: (byte*) data buffer."
FUN_080088f0,RF_Apply_Frequency_Offset,"Purpose: Applies a frequency offset to a base frequency. Used for RF channel selection.","Notes: Selects a channel struct based on index at DAT_08008930+0xf4. Reads base freq from offset +0x108, offset from +0x134, and writes result to +0x114."
FUN_08009110,Channel_Load_Config,"Purpose: Loads and parses configuration data for a specific channel (0, 1, or 2) from Flash into its runtime struct.","param_1: (int) channel index [0-2]. param_2: (int) 1 = read from flash. param_3: (int) flash offset. Notes: Populates the struct at DAT_08009428 + (param_1 * 0x58)."
FUN_0800956c,SPI_Read_And_CRC16,"Purpose: Reads a block of data from an SPI peripheral and calculates a CRC-16 checksum on the fly.","param_1: (uint) number of bytes to read. Notes: Uses CRC-16-CCITT-FALSE (poly 0x1021). FUN_0802112c is the byte read function."
